0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:22:46 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:22:46 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:23:22 +0530] "GET /frontend_proj/all/searchbycategory?searchCondition=Electronic%20Gadgets HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 10521
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:03 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:04 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:04 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:04 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:04 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:04 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:18 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:18 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:24:18 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:31 +0530] "GET /frontend_proj/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:31 +0530] "GET /frontend_proj/logout HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:31 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:31 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:25:52 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:24 +0530] "GET /frontend_proj/all/getproduct/163 HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:24 +0530] "GET /frontend_proj/all/getproduct/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:24 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:24 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:29 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 7917
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:29 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:26:29 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:16 +0530] "GET /frontend_proj/login HTTP/1.1" 200 3080
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:16 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:16 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "POST /frontend_proj/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6599
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:31:43 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
